half,minute,second,x,y,end_x,end_y,outcome
1,0,3,41.7,60.8,39.4,79.4,Successful
1,0,29,71.9,56.3,71.5,36.6,Successful
1,1,28,56.9,12.0,31.8,25.8,Successful
1,2,50,61.5,67.7,68.8,23.1,Successful
1,3,22,78.3,98.2,73.9,98.3,Unsuccessful
1,3,33,60.9,79.4,51.7,48.3,Successful
1,4,12,38.2,36.9,63.6,52.6,Unsuccessful
1,4,37,57.4,70.5,46.7,43.6,Successful
1,4,47,62.8,48.0,76.3,93.4,Successful
1,4,58,69.9,43.7,65.0,19.7,Successful
1,6,1,69.4,63.2,71.4,80.0,Successful
1,6,59,58.9,71.7,63.6,88.5,Successful
1,8,25,37.4,35.1,46.6,39.1,Unsuccessful
1,12,2,26.1,74.8,17.9,52.3,Successful
1,13,29,55.3,34.0,46.7,21.8,Successful
1,13,49,48.4,43.1,52.4,66.0,Successful
1,14,11,35.6,69.5,40.2,79.8,Successful
1,14,38,67.4,50.9,65.9,66.0,Successful
1,15,58,37.4,28.9,33.1,61.5,Successful
1,17,10,60.2,76.3,65.8,66.9,Successful
1,18,29,29.9,34.2,39.5,42.5,Successful
1,22,26,17.7,12.9,17.3,3.5,Successful
1,22,41,72.2,23.4,89.1,12.6,Successful
1,28,52,59.7,62.8,85.7,85.4,Successful
1,29,7,69.6,65.2,75.4,78.0,Successful
1,30,29,63.9,30.8,59.7,58.0,Successful
1,30,39,66.3,26.6,67.5,48.6,Successful
1,31,38,36.7,35.8,30.8,29.5,Successful
1,32,6,51.4,38.0,65.9,47.5,Unsuccessful
1,32,50,64.6,76.3,69.6,95.2,Successful
1,33,46,36.4,42.0,41.2,30.0,Successful
1,33,55,47.6,52.0,54.7,12.0,Successful
1,34,12,70.0,63.1,72.6,46.8,Successful
1,34,30,72.5,35.8,72.0,47.1,Successful
1,34,54,50.5,54.2,58.9,85.5,Successful
1,35,47,62.9,69.2,69.2,45.5,Successful
1,36,2,72.2,69.4,85.9,18.5,Successful
1,36,32,55.5,32.9,68.5,25.1,Successful
1,37,10,42.8,70.3,44.1,91.7,Successful
1,37,52,72.5,29.5,79.0,23.2,Successful
1,37,59,75.0,35.7,68.6,68.6,Successful
1,38,9,68.9,64.8,76.3,46.5,Successful
1,38,26,71.3,69.1,86.2,28.3,Unsuccessful
